,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,V,WMT
alpha,0.02042044782781015,-6.349225504063234e-05,0.007345436449186215,0.004741250368727269,-0.008520624533835442,0.012185030753213043,0.0029978627698888224,0.07251202275743593,-0.0033911601626595298,0.0017504035189709983
beta_mkt,1.378960526019615,1.3266854644679096,1.1082242569214795,0.5725332396938434,1.0193266299022359,0.9419985558788246,0.42892475237989064,2.9805317035487375,0.9675533348617361,0.5907337327215596
beta_smb,-0.514631525201124,-0.26259920287384925,-0.058320876548207695,-0.3666267140456574,0.4405963133300879,-0.2351591788659112,-0.7139537141866132,-0.14083554797597364,-0.5492162652210012,-0.5870499495494474
beta_hml,-0.3833263603184798,-0.681181957953665,-0.012152988326069675,0.08108042312314899,0.7027153854852324,-0.36702658614549455,0.09302852127816964,-1.0867468329984082,0.06444445954085964,-0.26278300431542584
r_squared,0.6973849373633979,0.664258482207539,0.6601878350242081,0.36355400781451186,0.8019382114844813,0.7456608829708178,0.3045503154320651,0.5455029640107854,0.4979396644414926,0.3613752218526416
