,portfolio_value,returns
2013-07-31,1.0,0.0
2013-08-31,1.0585187927511515,0.05851879275115146
2013-09-30,1.1818397314558895,0.11650330589239677
2013-10-31,1.188789105401354,0.005880132272168215
2013-11-30,1.1534023899824173,-0.029767025335405983
2013-12-31,1.263545714489593,0.09549427456003001
2014-01-31,1.2929570667860386,0.023276840686627942
2014-02-28,1.4682251562114454,0.13555600099010134
2014-03-31,1.3374579771742088,-0.08906479941718448
2014-04-30,1.2648270281360257,-0.05430521951174749
2014-05-31,1.3012644521832901,0.028808226924880165
2014-06-30,1.3689348486219168,0.0520035695473644
2014-07-31,1.3323618687964949,-0.026716377234635602
2014-08-31,1.4294981906614683,0.07290536012766213
2014-09-30,1.3883580873841521,-0.028779402132911747
2014-10-31,1.4298062671478382,0.029854098982330823
2014-11-30,1.4522342259982295,0.01568601241001022
2014-12-31,1.408002672382492,-0.03045758929509712
2015-01-31,1.3489337499071015,-0.041952280087252714
2015-02-28,1.3712537463376056,0.016546399281685442
2015-03-31,1.314380560867062,-0.04147531820601591
2015-04-30,1.3815055612038334,0.05106968433289283
2015-05-31,1.4301813950416096,0.03523390365172352
2015-06-30,1.4298808589930767,-0.0002101384129137296
2015-07-31,1.5865015719134408,0.10953409994638053
2015-08-31,1.5156341856905113,-0.0446689669128143
2015-09-30,1.493789387525373,-0.01441297535472652
2015-10-31,1.5430147251079194,0.0329533319714459
2015-11-30,1.6418485408832715,0.06405241257074823
2015-12-31,1.6641434604482324,0.013579157279006271
2016-01-31,1.533891227846911,-0.07826983412009336
2016-02-29,1.4689901532244423,-0.04231139304028031
2016-03-31,1.6371117869470675,0.11444708009348958
2016-04-30,1.6140388171604267,-0.014093704517067707
2016-05-31,1.6421568472157977,0.01742091315055161
2016-06-30,1.5751577335598752,-0.04079946064197004
2016-07-31,1.6884141156126442,0.07190161317800747
2016-08-31,1.6169046199254338,-0.042353054873189744
2016-09-30,1.6440684464607551,0.01679989419324812
2016-10-31,1.6140635239649463,-0.018250409561962888
2016-11-30,1.5303314707001057,-0.05187655381688627
2016-12-31,1.5983638038577415,0.04445594595693181
2017-01-31,1.7630590832543047,0.10303992057318978
2017-02-28,1.789883875162686,0.015214913761634863
2017-03-31,1.8527536393213866,0.0351250519830435
2017-04-30,1.8939740711534023,0.022248199089822673
2017-05-31,2.011334510064656,0.061965177189454934
2017-06-30,1.9421774956467621,-0.03438364631633095
2017-07-31,1.925082798674773,-0.008801820127308457
2017-08-31,1.9387301105443726,0.007089207736412417
2017-09-30,1.9676915977310032,0.014938380040169008
2017-10-31,2.1325258901717685,0.08377038994872987
2017-11-30,2.196670690176936,0.030079259670793945
2017-12-31,2.2114197840787684,0.006714294485644645
2018-01-31,2.5427453420288773,0.14982481405633807
2018-02-28,2.493115872734286,-0.019518065169275456
2018-03-31,2.2182172192189045,-0.11026308745685809
2018-04-30,2.372068429129205,0.06935804509013588
2018-05-31,2.475591170421746,0.04364239244588086
2018-06-30,2.5176535028000786,0.016990823396403787
2018-07-31,2.6898974214754103,0.06841446548691699
2018-08-31,2.9303749438779523,0.08940025760188286
2018-09-30,2.96175114468845,0.01070723078493696
2018-10-31,2.7608830475338357,-0.06782072069587874
2018-11-30,2.8263427635458513,0.023709702615070105
2018-12-31,2.6582977182792042,-0.05945671113712425
2019-01-31,2.6374434029371843,-0.007844988617572768
2019-02-28,2.6914462873781773,0.020475466651095786
2019-03-31,2.626702714205711,-0.02405530939855205
2019-04-30,2.660930614286717,0.013030747596937786
2019-05-31,2.3457344968913163,-0.11845333948322123
2019-06-30,2.553529350957555,0.0885841318962648
2019-07-31,2.625707352142322,0.028265976718732766
2019-08-31,2.6050637990870875,-0.007862092109538255
2019-09-30,2.6294099221337235,0.00934569166988064
2019-10-31,2.75034110311656,0.0459917565400767
2019-11-30,2.8828465503398872,0.04817782313371177
2019-12-31,3.233238149191418,0.12154361764770982
2020-01-31,3.866099731548944,0.19573614845407983
2020-02-29,3.6796467221030786,-0.04822767708870335
2020-03-31,3.1035206746697805,-0.15657102187897454
2020-04-30,3.8278425307609996,0.2333871535005283
2020-05-31,3.9637516206455494,0.03550540253220147
2020-06-30,4.449108604926881,0.1224488895200464
2020-07-31,4.993120299071632,0.12227431210429884
2020-08-31,6.753650318051398,0.3525911481257724
2020-09-30,6.051246790483413,-0.10400353801122575
2020-10-31,5.656138867120337,-0.0652936389876626
2020-11-30,6.816193240388661,0.20509651557740716
2020-12-31,7.455103168498721,0.09373412777153445
2021-01-31,7.682239821246507,0.030467271560713494
2021-02-28,6.996074907841926,-0.08931834066243005
2021-03-31,7.204711183322417,0.029821904171813518
2021-04-30,7.493405374436567,0.040070196260250324
2021-05-31,7.197109120971101,-0.039540934816668094
2021-06-30,7.48684110039073,0.040256716210596455
2021-07-31,7.787519050732056,0.040160856402526646
2021-08-31,8.125812489992112,0.043440463780086036
2021-09-30,7.878663118745269,-0.030415342656655797
2021-10-31,9.762503903130595,0.23910665502415096
2021-11-30,9.703274117474704,-0.006067069088381838
2021-12-31,9.568396337077195,-0.013900233958618946
2022-01-31,8.745919021611265,-0.08595769724534297
2022-02-28,8.26475922406892,-0.055015350171136235
2022-03-31,9.158301076402179,0.1081146864788336
2022-04-30,7.961790952454627,-0.13064760745096604
2022-05-31,7.418342905422373,-0.06825701029800446
2022-06-30,6.7960966585195,-0.08387941280633537
2022-07-31,8.160970151375588,0.20083197185624213
2022-08-31,7.689375155751438,-0.05778663404922024
